t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,u_1,u_2,u_3,u_4,comm_t,comm_id,comm_type
0.2162913774023231817,-0.05288442875687635047,-5.512923184904258811,1.497929112513268768,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689243702,6.704682635165935546e-16,-0.5958043163724336955,5.487484230436111332,0.8919153255642251477,-9.938114283010580459e-15,-2.677757563156904745e-14,-1.438674837576211736e-15,-3.463960374147372345,31.90381037136851816,-4.102866780410666436,7,7,7,7,0.00397843,3,2
0.2202698029829215642,-0.05528220544758077198,-5.490839152585629712,1.501458757108789177,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689247866,7.001421407663066647e-16,-0.609585424935120801,5.614411165736123976,0.882477345111021938,-1.026938475911093361e-14,-2.73296930917363006e-14,-1.471152335233109015e-15,-3.463960374147376342,31.90381037136851816,-4.102866780410666436,7,7,7,7,0.00397843,3,2
0.2242482285635199468,-0.05773480925311999523,-5.46825015090073574,1.504950853401445299,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689252029,7.30400563162357389e-16,-0.6233665334978079064,5.741338101036136621,0.8730393646578187283,-1.060065523521128677e-14,-2.788181055190355376e-14,-1.503629832890006294e-15,-3.463960374147379451,31.90381037136851816,-4.102866780410666436,7,7,7,7,0.00397843,3,2
0.2282266541441183294,-0.06024224017349401328,-5.445156179849576894,1.508405401391237133,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689256192,7.612435307047457277e-16,-0.6371476420604950119,5.868265036336149265,0.8636013842046155187,-1.093192571131163992e-14,-2.843392801207080691e-14,-1.536107330546903574e-15,-3.463960374147382559,31.90381037136851816,-4.102866780410666436,7,7,7,7,0.00397843,3,2
0.232205079724716712,-0.06280449820870283306,-5.421557239432154063,1.511822401078164901,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689260356,7.926710433934715821e-16,-0.6509287506231821174,5.995191971636161909,0.854163403751412309,-1.126319618741199308e-14,-2.898604547223806007e-14,-1.568584828203800853e-15,-3.463960374147386112,31.90381037136851816,-4.102866780410666436,7,7,7,7,0.00397843,3,2
0.2361835053053150946,-0.06542158335874644071,-5.397453329648466358,1.515201852462228382,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689264519,8.246831012285350509e-16,-0.6647098591858692229,6.122118906936174554,0.8447254232982090993,-1.159446666351234624e-14,-2.953816293240531322e-14,-1.601062325860698132e-15,-3.463960374147389665,31.90381037136851816,-4.102866780410666436,7,7,7,7,0.00397843,3,2
0.2401619308859134772,-0.06809349562362485009,-5.37284445049851378,1.518543755543427576,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689268682,8.57279704209936134e-16,-0.6784909677485563284,6.249045842236187198,0.8352874428450058897,-1.192573713961269939e-14,-3.009028039257256638e-14,-1.633539823517595411e-15,-3.463960374147393662,31.90381037136851816,-4.102866780410666436,7,7,7,7,0.00397843,3,2
0.2441403564665118597,-0.07082023500333806121,-5.347730601982297216,1.521848110321762704,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689274233,8.904608523376748314e-16,-0.6922720763112434339,6.375972777536199843,0.82584946239180268,-1.225700761571305255e-14,-3.064239785273981954e-14,-1.666017321174492691e-15,-3.463960374147397214,31.90381037136851816,-4.102866780410666436,7,7,7,7,0.00397843,3,2
0.2481187820471102423,-0.07360180149788607407,-5.322111784099815779,1.525114916797233544,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689279785,9.242265456117510445e-16,-0.7060531848739306504,6.502899712836212487,0.8164114819385994704,-1.25882780918134057e-14,-3.119451531290707269e-14,-1.69849481883138997e-15,-3.463960374147401655,31.90381037136851816,-4.102866780410666436,7,7,7,7,0.00397843,3,2
0.2520972076277086527,-0.07643819510726887478,-5.295987996851070356,1.528344174969840097,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689285336,9.585767840321649706e-16,-0.7198342934366178669,6.629826648136225131,0.8069735014853962607,-1.291954856791375886e-14,-3.174663277307432585e-14,-1.730972316488287249e-15,-3.463960374147406096,31.90381037136851816,-4.102866780410666436,7,7,7,7,0.00397843,3,2
0.256075633208307063,-0.07932941583148647724,-5.26935924023606006,1.531535884839582584,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689290887,9.935115675989164124e-16,-0.7336154019993050834,6.756753583436237776,0.797535521032193051,-1.325081904401411201e-14,-3.2298750233241579e-14,-1.763449814145184528e-15,-3.463960374147410093,31.90381037136851816,-4.102866780410670877,7,7,7,7,0.00397843,3,2
0.2600540587889054733,-0.08227546367053888143,-5.242225514254784891,1.534690046406460784,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689296438,1.02903089631200537e-15,-0.7473965105619922999,6.88368051873625042,0.7880975405789898414,-1.358208952011446517e-14,-3.285086769340883216e-14,-1.795927311802081807e-15,-3.463960374147414534,31.90381037136851816,-4.102866780410670877,7,7,7,7,0.00397843,3,2
0.2640324843695038837,-0.08527633862442608736,-5.214586818907245735,1.537806659670474696,0.7828423821512200398,-0.6185846290471695985,-0.06716290681689301989,1.06513477017143204e-15,-0.7611776191246795165,7.010607454036263064,0.7786595601257866317,-1.391335999621481832e-14,-3.340298515357608531e-14,-1.828404809458979284e-15,-3.463960374147418531,31.90381037136851816,-4.102866780410670877,7,7,7,7,0.00397843,3,2
